trialNum	trialTime	param_1	param_2	difference	isCorrect	isAscending	side	scalingVal	dotSize	numPoints	dotStyle	dotHue
89	992.0	0.9400000000000001	0.9	0.040000000000000036	true	false	right	0.9	12.0	100.0	8	1
90	1512.0	0.93	0.9	0.030000000000000027	true	false	left	0.9	12.0	100.0	8	1
91	2465.0	0.92	0.9	0.020000000000000018	false	false	left	0.9	12.0	100.0	8	1
92	657.0	0.95	0.9	0.04999999999999993	true	false	left	0.9	12.0	100.0	8	1
93	776.0	0.9400000000000001	0.9	0.040000000000000036	true	false	left	0.9	12.0	100.0	8	1
94	1160.0	0.93	0.9	0.030000000000000027	true	false	right	0.9	12.0	100.0	8	1
95	1001.0	0.92	0.9	0.020000000000000018	true	false	left	0.9	12.0	100.0	8	1
96	1385.0	0.91	0.9	0.010000000000000009	false	false	right	0.9	12.0	100.0	8	1
97	1097.0	0.94	0.9	0.039999999999999925	false	false	left	0.9	12.0	100.0	8	1
98	680.0	0.97	0.9	0.06999999999999995	true	false	left	0.9	12.0	100.0	8	1
99	952.0	0.96	0.9	0.05999999999999994	true	false	right	0.9	12.0	100.0	8	1
100	1201.0	0.95	0.9	0.04999999999999993	true	false	right	0.9	12.0	100.0	8	1
101	1433.0	0.94	0.9	0.039999999999999925	true	false	right	0.9	12.0	100.0	8	1
102	2145.0	0.9299999999999999	0.9	0.029999999999999916	true	false	right	0.9	12.0	100.0	8	1
103	1057.0	0.92	0.9	0.020000000000000018	true	false	left	0.9	12.0	100.0	8	1
104	896.0	0.91	0.9	0.010000000000000009	true	false	left	0.9	12.0	100.0	8	1
105	1160.0	0.696	0.6	0.09599999999999997	true	false	right	0.9	12.0	100.0	9	1
106	2850.0	0.6859999999999999	0.6	0.08599999999999997	true	false	left	0.9	12.0	100.0	9	1
107	1697.0	0.6759999999999999	0.6	0.07599999999999996	true	false	left	0.9	12.0	100.0	9	1
108	2617.0	0.666	0.6	0.06600000000000006	true	false	left	0.9	12.0	100.0	9	1
109	1096.0	0.656	0.6	0.05600000000000005	true	false	left	0.9	12.0	100.0	9	1
110	833.0	0.646	0.6	0.04600000000000004	true	false	left	0.9	12.0	100.0	9	1
111	2954.0	0.636	0.6	0.03600000000000003	false	false	left	0.9	12.0	100.0	9	1
112	880.0	0.6659999999999999	0.6	0.06599999999999995	true	false	left	0.9	12.0	100.0	9	1
113	2858.0	0.656	0.6	0.05600000000000005	false	false	right	0.9	12.0	100.0	9	1
114	1217.0	0.6859999999999999	0.6	0.08599999999999997	true	false	left	0.9	12.0	100.0	9	1
115	1192.0	0.6759999999999999	0.6	0.07599999999999996	false	false	right	0.9	12.0	100.0	9	1
116	1401.0	0.706	0.6	0.10599999999999998	true	false	left	0.9	12.0	100.0	9	1
117	1152.0	0.696	0.6	0.09599999999999997	true	false	left	0.9	12.0	100.0	9	1
118	3065.0	0.6859999999999999	0.6	0.08599999999999997	true	false	right	0.9	12.0	100.0	9	1
119	1089.0	0.6759999999999999	0.6	0.07599999999999996	true	false	left	0.9	12.0	100.0	9	1
120	1185.0	0.666	0.6	0.06600000000000006	true	false	right	0.9	12.0	100.0	9	1
121	3041.0	0.656	0.6	0.05600000000000005	false	false	right	0.9	12.0	100.0	9	1
122	848.0	0.6859999999999999	0.6	0.08599999999999997	true	false	left	0.9	12.0	100.0	9	1
123	881.0	0.676	0.6	0.07600000000000007	true	false	right	0.9	12.0	100.0	9	1
124	1128.0	0.666	0.6	0.06600000000000006	false	false	right	0.9	12.0	100.0	9	1
125	928.0	0.696	0.6	0.09599999999999997	true	false	left	0.9	12.0	100.0	9	1
126	1009.0	0.686	0.6	0.08600000000000008	true	false	left	0.9	12.0	100.0	9	1
127	880.0	0.676	0.6	0.07600000000000007	false	false	right	0.9	12.0	100.0	9	1
128	864.0	0.934	0.9	0.03400000000000003	true	false	left	0.9	12.0	100.0	9	1
129	1313.0	0.924	0.9	0.02400000000000002	false	false	right	0.9	12.0	100.0	9	1
130	1241.0	0.9540000000000001	0.9	0.05400000000000005	true	false	left	0.9	12.0	100.0	9	1
131	1241.0	0.9440000000000001	0.9	0.04400000000000004	true	false	right	0.9	12.0	100.0	9	1
132	1017.0	0.934	0.9	0.03400000000000003	false	false	right	0.9	12.0	100.0	9	1
133	664.0	0.964	0.9	0.06399999999999995	true	false	left	0.9	12.0	100.0	9	1
134	649.0	0.9540000000000001	0.9	0.05400000000000005	true	false	left	0.9	12.0	100.0	9	1
135	960.0	0.9440000000000001	0.9	0.04400000000000004	true	false	left	0.9	12.0	100.0	9	1
136	2433.0	0.934	0.9	0.03400000000000003	true	false	left	0.9	12.0	100.0	9	1
137	3938.0	0.924	0.9	0.02400000000000002	false	false	left	0.9	12.0	100.0	9	1
138	1057.0	0.954	0.9	0.05399999999999994	true	false	right	0.9	12.0	100.0	9	1
139	656.0	0.9440000000000001	0.9	0.04400000000000004	true	false	right	0.9	12.0	100.0	9	1
140	1048.0	0.934	0.9	0.03400000000000003	false	false	right	0.9	12.0	100.0	9	1
141	856.0	0.964	0.9	0.06399999999999995	true	false	left	0.9	12.0	100.0	9	1
142	729.0	0.954	0.9	0.05399999999999994	true	false	right	0.9	12.0	100.0	9	1
143	1168.0	0.944	0.9	0.04399999999999993	true	false	left	0.9	12.0	100.0	9	1
144	1289.0	0.934	0.9	0.03400000000000003	false	false	right	0.9	12.0	100.0	9	1
145	1489.0	0.964	0.9	0.06399999999999995	true	false	right	0.9	12.0	100.0	9	1
146	713.0	0.954	0.9	0.05399999999999994	true	false	left	0.9	12.0	100.0	9	1
147	1593.0	0.944	0.9	0.04399999999999993	false	false	left	0.9	12.0	100.0	9	1
148	688.0	0.974	0.9	0.07399999999999995	true	false	right	0.9	12.0	100.0	9	1
149	881.0	0.964	0.9	0.06399999999999995	true	false	left	0.9	12.0	100.0	9	1
150	905.0	0.954	0.9	0.05399999999999994	true	false	right	0.9	12.0	100.0	9	1
151	1529.0	0.44199999999999995	0.3	0.14199999999999996	true	false	left	0.9	12.0	100.0	9	1
152	1296.0	0.43199999999999994	0.3	0.13199999999999995	true	false	right	0.9	12.0	100.0	9	1
153	1272.0	0.422	0.3	0.122	true	false	left	0.9	12.0	100.0	9	1
154	1617.0	0.412	0.3	0.11199999999999999	false	false	left	0.9	12.0	100.0	9	1
155	1113.0	0.44199999999999995	0.3	0.14199999999999996	true	false	right	0.9	12.0	100.0	9	1
156	1777.0	0.43199999999999994	0.3	0.13199999999999995	true	false	left	0.9	12.0	100.0	9	1
157	1601.0	0.422	0.3	0.122	true	false	right	0.9	12.0	100.0	9	1
158	1345.0	0.412	0.3	0.11199999999999999	true	false	left	0.9	12.0	100.0	9	1
159	809.0	0.40199999999999997	0.3	0.10199999999999998	true	false	right	0.9	12.0	100.0	9	1
160	1088.0	0.392	0.3	0.09200000000000003	true	false	left	0.9	12.0	100.0	9	1
161	1265.0	0.382	0.3	0.08200000000000002	true	false	right	0.9	12.0	100.0	9	1
162	857.0	0.372	0.3	0.07200000000000001	true	false	left	0.9	12.0	100.0	9	1
163	928.0	0.362	0.3	0.062	true	false	right	0.9	12.0	100.0	9	1
164	1745.0	0.352	0.3	0.05199999999999999	false	false	right	0.9	12.0	100.0	9	1
165	1192.0	0.382	0.3	0.08200000000000002	true	false	right	0.9	12.0	100.0	9	1
166	1352.0	0.372	0.3	0.07200000000000001	false	false	right	0.9	12.0	100.0	9	1
167	1057.0	0.402	0.3	0.10200000000000004	true	false	right	0.9	12.0	100.0	9	1
168	1025.0	0.392	0.3	0.09200000000000003	true	false	left	0.9	12.0	100.0	9	1
169	1753.0	0.382	0.3	0.08200000000000002	true	false	right	0.9	12.0	100.0	9	1
170	1681.0	0.372	0.3	0.07200000000000001	true	false	right	0.9	12.0	100.0	9	1
171	1961.0	0.362	0.3	0.062	true	false	left	0.9	12.0	100.0	9	1
172	1689.0	0.352	0.3	0.05199999999999999	true	false	right	0.9	12.0	100.0	9	1
